Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link,NAME_2
Cozy Premium 3 Bedroom For Sale in Kirov Tower The Proscenium by Rockwell Makati,"Rockwell, Makati",Condominium,"Condominium,3-bedroom",None,225,None,3,4,121.036339,14.562949,Proscenium at Rockwell,77000000,https://www.lamudi.com.ph/cozy-premium-3-bedroom-for-sale-in-kirov-tower-the-proscenium-by-rockwell-makati.html,Makati
"Bright & Airy 2-Storey House and Lot for Sale in Ugong,Pasig City nr SM Megamall","Valle Verde 2, Pasig",House,"House,single-family-house",844,500,None,4,5,121.072923,14.582317,None,150000000,https://www.lamudi.com.ph/bright-airy-2-storey-house-and-lot-for-sale-in-ugong-pasig-city-nr-sm-megamall.html,Pasig
"1 Bedroom Penthouse @ BSA Tower For Sale Makati, Metro Manila","San Lorenzo, Makati",Condominium,"Condominium,penthouse-1",None,96.4,None,1,2,121.019175,14.550759,BSA Tower,17400000,https://www.lamudi.com.ph/1-bedroom-penthouse-bsa-tower-for-sale-makati-metro-manila.html,Makati
"For sale Renovated Studio at Malayan Plaza Ortigas fronting Podium Mall, Pasig","Ortigas CBD, Pasig",Condominium,"Condominium,studio",None,30.95,None,1,1,121.0601097,14.5865864,None,3900000,https://www.lamudi.com.ph/for-sale-renovated-studio-at-malayan-plaza-ortigas-fronting-podium-mall-pasig.html,Pasig
"Filinvest Alabang Muntinlupa Commercial Lot For Sale 3,411 sqm.","Alabang, Muntinlupa",Land,"Land,commercial-lot",3411,None,None,None,None,121.037608,14.4179774,None,1504251000,https://www.lamudi.com.ph/filinvest-alabang-muntinlupa-commercial-lot-for-sale-3-411-sqm.html,Muntinlupa
For Sale Studio w/ Balcony & Rental Income in Venice Luxury Residences Taguig,"McKinley Hill, Taguig",Condominium,"Condominium,studio",None,40,None,1,1,121.0502,14.53352,The Venice Luxury Residences,4900000,https://www.lamudi.com.ph/for-sale-studio-w-balcony-rental-income-in-venice-luxury-residences-taguig.html,Taguig
2 Bedroom Unit with Balcony  - Renaissance Ortigas Pasig - For sale,"Ugong, Pasig",Condominium,"Condominium,double-bedroom",None,188,None,2,2,121.072573,14.582943,Renaissance Condominium,17500000,https://www.lamudi.com.ph/2-bedroom-unit-with-balcony-renaissance-ortigas-pasig-for-sale.html,Pasig
Office Space - FOR SALE in One Corporate Center Pasig,"Ortigas CBD, Pasig",Commercial,"Commercial,offices",210,210,2,None,None,121.059675,14.583771,None,35000000,https://www.lamudi.com.ph/office-space-for-sale-in-one-corporate-center-pasig.html,Pasig
Commercial Building for Sale Along Quezon Ave. QC! Good Location & Investment!,"Quezon Avenue, Quezon City",Commercial,"Commercial,building",2000,3301.9,None,None,None,121.0129698,14.6222696,None,400000000,https://www.lamudi.com.ph/commercial-building-for-sale-along-quezon-ave-qc-good-location-investment.html,Quezon City
For Sale Big Penthouse Bi-Level with Balcony in EDSA Reliance Mandaluyong,"Highway Hills, Mandaluyong",Condominium,"Condominium,penthouse-1",None,161.49,2,2,2,121.052143,14.578255,Paragon Plaza Condominium ,15000000,https://www.lamudi.com.ph/for-sale-big-penthouse-bi-level-with-balcony-in-edsa-reliance-mandaluyong.html,Mandaluyong
Phoenix Heights 5 Bedroom 5BR Penthouse Unit for Sale with Skyline view in Pasig,"Bagong Ilog, Pasig",Condominium,"Condominium,penthouse-1",None,550,None,5,4,121.0692646,14.57193865,Phoenix Heights Condominium,35000000,https://www.lamudi.com.ph/phoenix-heights-5-bedroom-5br-penthouse-unit-for-sale-with-skyline-view-in-pasig.html,Pasig
"Phoenix Height 5BR Bi Level Penthouse Unit for Sale in Pasig Nr. Shaw Blvd, EDSA","Ugong, Pasig",Condominium,"Condominium,penthouse-1",None,550,1,5,4,121.0692646,14.57193865,Phoenix Heights Condominium,35000000,https://www.lamudi.com.ph/phoenix-height-5br-bi-level-penthouse-unit-for-sale-in-pasig-nr-shaw-blvd-edsa.html,Pasig
"For Sale Townhouse @ Leon Guinto St., Malate,Manila near De La Salle University","Malate, Manila",House,"House,townhouse",47.3,148.36,1,3,3,120.991585,14.570199,None,12500000,https://www.lamudi.com.ph/for-sale-townhouse-leon-guinto-st-malate-manila-near-de-la-salle-university.html,Manila
"2 Bedrooms for sale at The Rockwell - Joya South Towers, Makati City","Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,94,1,2,2,121.036339,14.562949,Joya Lofts and Towers,30800000,https://www.lamudi.com.ph/2-bedrooms-for-sale-at-the-rockwell-joya-south-towers-makati-city.html,Makati
Rush Sale: Lot Value St. Ignatius Village Quezon City House and Lot for Sale,"Saint Ignatius, Quezon City",House,"House,single-family-house",474,500,4,4,4,121.072922,14.613347,None,65000000,https://www.lamudi.com.ph/rush-sale-lot-value-st-ignatius-village-quezon-city-house-and-lot-for-sale.html,Quezon City
"2-Bedroom Condominium For Sale in BGC Taguig City, 9th floor, Sapphire Residence","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,84,1,2,2,121.050318,14.540867,Sapphire Residences,19000000,https://www.lamudi.com.ph/2-bedroom-condominium-for-sale-in-bgc-taguig-city-84sqm-sapphire-residences.html,Taguig
"Phoenix Heights 5 Bedroom Penthouse Condo for Sale in Bagong Ilog, Pasig City","Ugong, Pasig",Condominium,"Condominium,penthouse-1",None,550,2,5,4,121.0692646,14.57193865,Phoenix Heights Condominium,35000000,https://www.lamudi.com.ph/phoenix-heights-5-bedroom-penthouse-condo-for-sale-in-bagong-ilog-pasig-city.html,Pasig
Phoenix Heights Condominium 5 Bedroom Bi-Level Penthouse Condo for Sale in Pasig,"Bagong Ilog, Pasig",Condominium,"Condominium,penthouse-1",None,550,2,5,4,121.0692646,14.57193865,Phoenix Heights Condominium,35000000,https://www.lamudi.com.ph/phoenix-heights-condominium-5-bedroom-bi-level-penthouse-condo-for-sale-in-pasig.html,Pasig
Phoenix Heights 5 Bedroom Penthouse Condo Unit for Sale with City view in Pasig,"Bagong Ilog, Pasig",Condominium,"Condominium,penthouse-1",None,550,2,5,4,121.0692646,14.57193865,Phoenix Heights Condominium,35000000,https://www.lamudi.com.ph/phoenix-heights-5-bedroom-penthouse-condo-unit-for-sale-with-city-view-in-pasig.html,Pasig
Bare Studio Unit at La Verti Residences For Sale in Pasay City,"San Rafael, Pasay",Condominium,"Condominium,studio",None,28,None,1,1,120.997655,14.547105,La Verti Residences,3600000,https://www.lamudi.com.ph/bare-studio-unit-at-la-verti-residences-for-sale-in-pasay-city.html,Pasay
3BR Brand New House Woodridge Heights for Sale - Marikina City backing LGV,"Concepcion Uno, Marikina",House,"House,single-family-house",204,316,2,3,3,121.105875,14.649665,None,29700000,https://www.lamudi.com.ph/3br-brand-new-house-woodridge-heights-for-sale-marikina-city-backing-lgv.html,Marikina
"Fort Victoria Condo For Sale Taguig City, Fort Bonifacio, BGC","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,45.38,None,2,2,121.050318,14.540867,Fort Victoria,8000000,https://www.lamudi.com.ph/fort-victoria-fully-furnished-2br-condo-for-sale-with-golf-course-view-fort-bgc.html,Taguig
AFPOVAI Brand New 3-Storey Apartment Building for Sale Taguig City-DS882732,"Western Bicutan, Taguig",Apartment,"Apartment,apartments",None,900,None,20,None,121.036376,14.517219,None,98000000,https://www.lamudi.com.ph/afpovai-brand-new-3-storey-apartment-building-for-sale-fort-bonifacio-ds882732.html,Taguig
Quezon Ave. Commercial Lot/Building for Sale QC! 5 Storey,"Quezon Avenue, Quezon City",Commercial,"Commercial,building",2000,3301.9,None,None,None,121.0232,14.63518,None,400000000,https://www.lamudi.com.ph/quezon-ave-commercial-lot-building-for-sale-qc-5storey-2k-sqm-good-investment.html,Quezon City
Corner House And Lot 5 bedroom For Sale in Ayala Alabang Village Muntinlupa City,"Ayala Alabang, Muntinlupa",House,"House,single-family-house",1150,1100,3,5,4,121.022321,14.405874,None,230000000,https://www.lamudi.com.ph/corner-house-and-lot-5-bedroom-for-sale-in-ayala-alabang-village-muntinlupa-city.html,Muntinlupa
For Sale Brand New 4 Bedroom Condo Unit in Uptown Ritz BGC Taguig City,"Fort Bonifacio, Taguig",Condominium,"Condominium,4-bedroom",None,183,2,4,4,121.050318,14.540867,Uptown Ritz Residences,65000000,https://www.lamudi.com.ph/for-sale-brand-new-4-bedroom-condo-unit-in-uptown-ritz-bgc-taguig-city.html,Taguig
For Sale! 461sqm Lot at Hillsborough Alabang in Muntinlupa City,"Cupang, Muntinlupa",Land,"Land,commercial-lot",461,None,None,None,None,121.040194,14.434669,None,45000000,https://www.lamudi.com.ph/for-sale-461sqm-lot-at-hillsborough-alabang-in-muntinlupa-city.html,Muntinlupa
For Sale 1 Bedroom + Parking - Avida Towers BGC 34th St.,"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,36,None,1,1,121.050318,14.540867,Avida Towers 34th Street,8500000,https://www.lamudi.com.ph/for-sale-1-bedroom-parking-avida-towers-bgc-34th-st.html,Taguig
5-Storey Prime Commercial Building for Sale in Quezon City Income Generating!,"Quezon Avenue, Quezon City",Commercial,"Commercial,building",2000,3301.9,None,None,None,121.0232,14.63518,None,400000000,https://www.lamudi.com.ph/5-storey-prime-commercial-building-for-sale-in-quezon-city-income-generating.html,Quezon City
"For Sale Residential Condominium The Vantage Kapitolyo, Kapitolyo, Pasig City","Kapitolyo, Pasig",Condominium,"Condominium,double-bedroom",None,51,1,2,2,121.0599,14.57284,The Vantage at Kapitolyo,10500000,https://www.lamudi.com.ph/for-sale-residential-condominium-the-vantage-kapitolyo-kapitolyo-pasig-city.html,Pasig
Neopolitan Business Park Prime Commercial Lot for Sale! SM Fairview Quezon City,"Novaliches, Quezon City",Land,"Land,commercial-lot",1509,None,None,None,None,121.0521,14.7214,None,173535000,https://www.lamudi.com.ph/neopolitan-business-park-prime-commercial-lot-for-sale-sm-fairview-quezon-city.html,Quezon City
"Rent to Own 3BR Condo in Pasig Kapitolyo | 49,900/month | Near Capitol Commons","Kapitolyo, Pasig",Condominium,"Condominium,3-bedroom",None,67,1,3,2,121.0598147,14.5684378,Residencia Isabel,5400000,https://www.lamudi.com.ph/rent-to-own-3br-condo-in-pasig-kapitolyo-49-900-month-near-capitol-commons.html,Pasig
"For Sale 2BR w/ Parking, Free Appliances Good As New! in Zinnia Towers QC","Katipunan, Quezon City",Condominium,"Condominium,double-bedroom",None,52,None,2,1,121.076504,14.640624,One Rockwell East,7000000,https://www.lamudi.com.ph/for-sale-2br-w-parking-free-appliances-good-as-new-165906640988.html,Quezon City
"Afpovai Brand New 3-Storey Apartment Building for Sale Fort Bonifacio, Taguig","Western Bicutan, Taguig",Apartment,"Apartment,apartments",None,900,None,20,None,121.036376,14.517219,None,98000000,https://www.lamudi.com.ph/afpovai-brand-new-3-storey-apartment-building-for-sale-fort-bonifacio-taguig.html,Taguig
Corner Studio Unit For Sale at Park Terraces Located in Makati City,"San Lorenzo, Makati",Condominium,"Condominium,studio",None,44,1,1,1,121.019175,14.550759,Park Terraces,13000000,https://www.lamudi.com.ph/corner-studio-unit-for-sale-at-park-terraces-located-in-makati-city.html,Makati
The Residences at Greenbelt 3 Bedroom Unit for Sale with Skyline view in Makati,"Paseo de Roxas, Makati",Condominium,"Condominium,3-bedroom",None,210,2,3,3,121.0203178,14.5511286,The Residences at Greenbelt,65000000,https://www.lamudi.com.ph/the-residences-at-greenbelt-3-bedroom-unit-for-sale-with-skyline-view-in-makati.html,Makati
"1Bedroom Condo unit for Sale in 101 Newport Boulevard, Pasay City","Newport City, Pasay",Condominium,"Condominium,single-bedroom",None,52,None,1,1,121.0140497,14.5203122,101 Newport Boulevard,12000000,https://www.lamudi.com.ph/1bedroom-condo-unit-for-sale-in-101-newport-boulevard-pasay-city.html,Pasay
"Poblacion, Income Generating House for Sale with 5 Unit Apartment in Makati City","Poblacion, Makati",Apartment,"Apartment,apartments",None,198,None,5,None,121.032076,14.56568,None,40000000,https://www.lamudi.com.ph/poblacion-income-generating-house-for-sale-with-5-unit-apartment-in-makati-city-1.html,Makati
Rush Sale 2 Storey 5-BR House in Xavierville Village 1 QC Near Katipunan Ateneo,"Loyola Heights, Quezon City",House,"House,single-family-house",400,700,4,5,5,121.076504,14.640624,None,39500000,https://www.lamudi.com.ph/rush-sale-2-storey-5-br-house-in-xavierville-village-1-qc-near-katipunan-ateneo.html,Quezon City
For Sale 2 Storey 5-BR House along TIMES ST in WEST TRIANGLE HOMES QC Near MCDO,"West Triangle, Quezon City",House,"House,single-family-house",180,330,1,5,4,121.0302074,14.642287,None,16500000,https://www.lamudi.com.ph/for-sale-2-storey-5-br-house-along-times-st-in-west-triangle-homes-qc-near-mcdo.html,Quezon City
"Penthouse 2 Bedroom w/ Parking for sale at Torre De Manila, Manila","Ermita, Manila",Condominium,"Condominium,penthouse-1",None,57,2,2,1,120.9849377,14.5851163,Torre De Manila,10500000,https://www.lamudi.com.ph/penthouse-2-bedroom-w-parking-for-sale-at-torre-de-manila-manila.html,Manila
"3 Bedroom Condo unit @ Makati Executive Tower for Sale, Makati City","Pio Del Pilar, Makati",Condominium,"Condominium,3-bedroom",None,140,None,3,3,121.012006,14.5531,Makati Executive Tower,12000000,https://www.lamudi.com.ph/3-bedroom-condo-unit-makati-executive-tower-for-sale-makati-city.html,Makati
Horseshoe Village Quezon City House and Lot for Sale,"Horseshoe, Quezon City",House,"House,single-family-house",922,260,7,3,2,121.043543,14.613141,None,138300000,https://www.lamudi.com.ph/horseshoe-village-quezon-city-house-and-lot-for-sale-1.html,Quezon City
