Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link,NAME_2
Rush Sale! 3Bedroom Condo Unit in McKinley Garden Villas 19Million,"McKinley Hill, Taguig",Condominium,"Condominium,3-bedroom",None,128,None,3,2,121.0553,14.53712,McKinley Garden Villas,19000000,https://www.lamudi.com.ph/rush-sale-3bedroom-condo-unit-in-mckinley-garden-v-166132665343.html,Taguig
Re-Opened Prime Beach Lot in Playa Laiya,"Laiya-Aplaya, San Juan",Land,"Land,beach-lot",537,None,None,None,None,121.379905,13.691466,None,20191200,https://www.lamudi.com.ph/re-opened-prime-beach-lot-in-playa-laiya-166123176043.html,San Juan
"Interior Decorated 3 Bedroom Unit for Sale in The Peak Tower, Makati City","Salcedo Village, Makati",Condominium,"Condominium,3-bedroom",None,162,None,3,3,121.0206028,14.5596699,The Peak,29500000,https://www.lamudi.com.ph/interior-decorated-3-bedroom-unit-for-sale-in-the-16612243031.html,Makati
"Acropolis Loyola | Lots for Sale in Matandang Balara, Quezon City","Matandang Balara, Quezon City",Land,"Land,residential-lot",300,None,None,None,None,122.2664748,14.5353804,None,80000000,https://www.lamudi.com.ph/acropolis-loyola-10-discount-hurry-up-commercial-166117642433.html,Quezon City
"Modern House and lot for sale in Ayala Alabang Village, Muntinlupa","Ayala Alabang, Muntinlupa",House,"House,single-family-house",570,900,6,6,6,121.022321,14.405874,None,235000000,https://www.lamudi.com.ph/modern-house-ayala-alabang-village-166116251893.html,Muntinlupa
Grand Eastwood Palazzo 2 Bedroom Upgraded Unit w/ Parking High Floor,"Bagumbayan, Quezon City",Condominium,"Condominium,double-bedroom",None,73,1,2,2,121.081903,14.605396,The Grand Eastwood Palazzo,8300000,https://www.lamudi.com.ph/grand-eastwood-palazzo-2-bedroom-upgraded-unit-w-p-166115673936.html,Quezon City
"For Sale 2 Bedroom with Parking at Shang Residences at Wack Wack, Mandaluyong","Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,double-bedroom",None,142,1,2,4,121.053333,14.592173,Shang Residences at Wack Wack,43624480,https://www.lamudi.com.ph/2-bedroom-with-parking-at-shang-residences-at-wack-16609816107.html,Mandaluyong
"3-Bedroom Condo for Sale in BGC Taguig City, 5th Floor, Verve Residences Tower 1","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,184,1,3,3,121.050318,14.540867,Verve Residences,49000000,https://www.lamudi.com.ph/3-bedroom-condo-for-sale-in-bgc-taguig-city-5th-fl-166097915610.html,Taguig
"2-Bedroom Condo For Sale in BGC Taguig City, 10th Floor, Icon Residences Tower 2","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,95,1,2,2,121.050318,14.540867,Icon Residences,20000000,https://www.lamudi.com.ph/2-bedroom-condo-for-sale-in-bgc-taguig-city-10th-f-166097421844.html,Taguig
"For Sale Loft Type Unit in AMA Tower Residences, Mandaluyong City","Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,loft-1",None,65,None,2,2,121.053333,14.592173,AMA Tower Residences,14456789,https://www.lamudi.com.ph/loft-type-condo-in-ortigas-mandaluyong-rent-to-own-166097150696.html,Mandaluyong
For Sale 2 Bedroom Unit in Ortigas Mandaluyong Rent to Own 500k Down 21k monthly,"Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,double-bedroom",None,52,None,2,1,121.053333,14.592173,AMA Tower Residences,9876543.21,https://www.lamudi.com.ph/2bedroom-condo-in-ortigas-mandaluyong-rent-to-own-166097128794.html,Mandaluyong
For Sale 1-Bedroom in Mandaluyong Rent to Own 300k Down Move in 13k monthly,"Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,single-bedroom",None,30,None,1,1,121.053333,14.592173,AMA Tower Residences,6400000,https://www.lamudi.com.ph/1bedroom-condo-in-ortigas-mandaluyong-rent-to-own-166097102893.html,Mandaluyong
Rent to Own Condo in Ortigas Mandaluyong Studio 250k Down Move in 11k Monthly,"Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,studio",None,20,None,1,1,121.053333,14.592173,AMA Tower Residences,5400000,https://www.lamudi.com.ph/rent-to-own-condo-in-ortigas-mandaluyong-studio-25-166096200126.html,Mandaluyong
For Sale! Commercial Lot in Cubao. (P. Tuazon side),"Cubao, Quezon City",Land,"Land,commercial-lot",413,None,None,None,None,121.0443089,14.6621443,None,80000000,https://www.lamudi.com.ph/for-sale-commercial-lot-in-cubao-p-tuazon-side-166090619181.html,Quezon City
Townhouse/House and Lot for Sale in San Juan City! 3-Storey with High Ceiling,"Greenhills, San Juan",House,"House,single-family-house",232,502,None,4,4,121.0468908,14.6011932,None,53815248.6,https://www.lamudi.com.ph/house-and-lot-for-sale-in-san-juan-city-3-storey-w-16608932475.html,San Juan
"One Uptown Residences 2 Bedroom Condo for Sale in BGC,Fort Bonifacio,Taguig City","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,68.6,None,2,2,121.050318,14.540867,ONE UPTOWN RESIDENCE,19000000,https://www.lamudi.com.ph/one-uptown-residences-2-bedroom-condo-for-sale-in-166089138030.html,Taguig
"Modern House and Lot for Sale in Ayala Alabang Village, Muntinlupa City","Ayala Alabang, Muntinlupa",House,"House,single-family-house",680,555,4,4,5,121.022321,14.405874,None,195000000,https://www.lamudi.com.ph/modern-house-and-lot-for-sale-in-ayala-alabang-vil-16608823650.html,Muntinlupa
RUSH SALE! Affordable 1BR Condo w/ Parking 1.8M Only (Negotiable),"Santolan, Pasig",Condominium,"Condominium,single-bedroom",None,18,None,1,1,121.087967,14.613073,Pasig Royale Mansion,1800000,https://www.lamudi.com.ph/rush-sale-affordable-1br-condo-w-parking-1-8m-only-166082158516.html,Pasig
Lowest Down Payment! 2.5% Only to Move In 2BR unit for sale in Sorrento Oasis,"Rosario, Pasig",Condominium,"Condominium,double-bedroom",None,35.87,None,2,1,121.089097,14.588464,Sorrento Oasis,5498041,https://www.lamudi.com.ph/lowest-down-payment-2-5-only-to-move-in-166081164413.html,Pasig
2 Bedroom For Sale in DMCI Rhapsody Residences,"Buli, Muntinlupa",Condominium,"Condominium,double-bedroom",None,53,None,2,2,121.049993,14.443527,Rhapsody Residences,4800000,https://www.lamudi.com.ph/2-bedroom-for-sale-in-dmci-raphosody-residences-16608115506.html,Muntinlupa
"For Sale : House and Lot in Las Pinas City at The Enclave Alabang! Nr. MCX, SLEX","Alabang, Muntinlupa",House,"House,single-family-house",467,414,2,3,4,121.037608,14.4179774,None,65000000,https://www.lamudi.com.ph/for-sale-house-and-lot-in-las-pinas-city-at-the-en-166080944784.html,Muntinlupa
The Enclave Alabang House and Lot for Sale in Las Pinas City! Sacrifice Sale!,"Alabang, Muntinlupa",House,"House,single-family-house",467,414,2,3,5,121.037608,14.4179774,None,65000000,https://www.lamudi.com.ph/the-enclave-alabang-house-and-lot-for-sale-in-las-166080944670.html,Muntinlupa
"JML - FOR SALE: 2,210 sqm Commercial Lot in Arca South, Taguig","Western Bicutan, Taguig",Land,"Land,commercial-lot",2210,None,None,None,None,121.036376,14.517219,None,1215500000,https://www.lamudi.com.ph/jml-for-sale-2-210-sqm-commercial-lot-in-arca-sout-166080679912.html,Taguig
"BJS - FOR SALE: 512 sqm Residential Lot in Bel-Air 2 Village, Makati","Bel-Air, Makati",Land,"Land,residential-lot",512,None,None,None,None,121.026342,14.563933,None,220000000,https://www.lamudi.com.ph/bjs-for-sale-512-sqm-residential-lot-in-bel-air-2-166080559925.html,Makati
House and Lot for Sale Las Pinas City at The Enclave Alabang! Nr. Ayala Alabang,"Alabang, Muntinlupa",House,"House,single-family-house",350,391,None,3,5,121.037608,14.4179774,None,55000000,https://www.lamudi.com.ph/house-and-lot-for-sale-las-pinas-city-at-the-encla-166080522057.html,Muntinlupa
2-Storey Modern House and Lot for sale in Las Pinas City at  The Enclave Alabang,"Alabang, Muntinlupa",House,"House,single-family-house",350,391,None,3,5,121.037608,14.4179774,None,55000000,https://www.lamudi.com.ph/2-storey-modern-house-and-lot-for-sale-in-las-pina-166080521742.html,Muntinlupa
"House and Lot for Sale at Rancho, Concepcion Dos, Marikina City","Concepcion Dos, Marikina",House,"House,single-family-house",264,360,None,5,4,121.119734,14.640389,None,16500000,https://www.lamudi.com.ph/house-and-lot-for-sale-at-rancho-166080398133.html,Marikina
"RSO - FOR SALE: Condominium in One Rockwell West, Rockwell, Makati","Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,93,1,2,2,121.036339,14.562949,One Rockwell,24000000,https://www.lamudi.com.ph/rso-for-sale-condominium-in-one-rockwell-west-rock-166080271146.html,Makati
"House and Lot 5 Bedrooms for Sale in Urduja Village, Caloocan City","Camarin, Caloocan",House,"House,single-family-house",240,320,2,5,4,121.03773,14.74393,None,10000000,https://www.lamudi.com.ph/house-and-lot-for-sale-in-urduja-village-caloocan-166080224086.html,Caloocan
"ENCLAVE ALABANG HOUSE FOR SALE, Good deal Sacrifice Sale Daanghari House Alabang","Alabang, Muntinlupa",House,"House,single-family-house",467,414,None,3,5,121.037608,14.4179774,None,65000000,https://www.lamudi.com.ph/enclave-alabang-house-for-sale-good-deal-sacrifice-166078678356.html,Muntinlupa
"Sacrifice Sale, ALABANG HOUSE FOR SALE Enclave Alabang Daang Hari near MCX Exit","Alabang, Muntinlupa",House,"House,single-family-house",467,414,None,3,5,121.037608,14.4179774,None,65000000,https://www.lamudi.com.ph/sacrifice-sale-alabang-house-for-sale-enclave-alab-166078675687.html,Muntinlupa
Good Buy! The Enclave Alabang House for Sale along Daang Hari near Ayala Alabang,"Alabang, Muntinlupa",House,"House,single-family-house",350,391,None,3,5,121.037608,14.4179774,None,55000000,https://www.lamudi.com.ph/good-buy-the-enclave-alabang-house-for-sale-along-166078519259.html,Muntinlupa
Alabang House and Lot for Sale ENCLAVE HOUSE near Muntinlupa and Ayala Alabang,"Alabang, Muntinlupa",House,"House,single-family-house",350,391,None,3,5,121.037608,14.4179774,None,55000000,https://www.lamudi.com.ph/alabang-house-and-lot-for-sale-enclave-house-near-16607851862.html,Muntinlupa
"Rent to Own 3 Bedroom Condo Unit for Sale in St. Moritz Private Estate, Taguig","McKinley Hill, Taguig",Condominium,"Condominium,3-bedroom",None,113.5,None,3,4,121.050318,14.540867,St. Moritz Private Estate,30600000,https://www.lamudi.com.ph/rent-to-own-3-bedroom-condo-unit-for-sale-in-st-mo-166073016640.html,Taguig
"Northview 1, Batasan - San Mateo Road, QC LOT with old house for SALE","Batasan Hills, Quezon City",Land,"Land,residential-lot",360,None,None,None,None,121.096563,14.681641,None,11000000,https://www.lamudi.com.ph/northview-1-batasan-san-mateo-road-qc-lot-with-old-16607293965.html,Quezon City
Good Investment Commercial Property in Quezon Avenue for Sale,"Quezon Avenue, Quezon City",Commercial,"Commercial,building",2000,3301.9,None,None,None,121.0232,14.63518,None,400000000,https://www.lamudi.com.ph/good-investment-commercial-property-in-quezon-aven-166071952629.html,Quezon City
"For Sale 3 Bedroom Unit at The Albany Luxury Residences, Taguig City","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,134.5,None,3,4,121.050318,14.540867,The Albany Luxury Residences ,36600000,https://www.lamudi.com.ph/for-sale-3-bedroom-condo-unit-in-the-albany-luxury-166067303011.html,Taguig
"GH - For Sale: 3 Bedroom Unit in Grand Hyatt Manila Residences, BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,300,2,3,3,121.050318,14.540867,Grand Hyatt Manila,105000000,https://www.lamudi.com.ph/gh-for-sale-3-bedroom-unit-in-grand-hyatt-manila-r-166063553543.html,Taguig
"2Bedroom Rent to Own near BGC,Makati,Ortigas for Sale Unit 34NO Axis Residences","Barangka Ilaya, Mandaluyong",Condominium,"Condominium,double-bedroom",None,52,None,2,2,121.04641,14.571338,Axis Residences,9209201,https://www.lamudi.com.ph/2bedroom-rent-to-own-near-bgc-makati-ortigas-for-s-166062936214.html,Mandaluyong
"Condo near BGC,Makati,&Ortigas Studio Unit 34S Axis Residences Rent to Own","Buayang Bato, Mandaluyong",Condominium,"Condominium,studio",None,24,None,1,1,121.051068,14.569686,Axis Residences,4320129,https://www.lamudi.com.ph/condo-near-bgc-makati-ortigas-studio-unit-21l-axis-166062899951.html,Mandaluyong
ADG - FOR SALE: Old House along D Tuazon Sta. Mesa Heights QC,"Maharlika, Quezon City",Land,"Land,residential-lot",800,None,None,None,None,120.996952,14.633569,None,165000000,https://www.lamudi.com.ph/adg-for-sale-old-house-along-d-tuazon-sta-mesa-hei-166062480144.html,Quezon City
Cubao Lot for Sale in Quezon City with Existing Bungalow House Nr. Farmers Plaza,"Cubao, Quezon City",Land,"Land,residential-lot",600,None,None,None,None,121.0572,14.61777,None,78000000,https://www.lamudi.com.ph/cubao-lot-for-sale-in-quezon-city-with-existing-bu-166061873149.html,Quezon City
Beach residences Playa Laiya,"Laiya-Ibabao, San Juan",Land,"Land,residential-lot",286,None,None,None,None,121.422891,13.673186,None,9581000,https://www.lamudi.com.ph/beach-residences-playa-laiya-166055783798.html,San Juan
"Commercial Warehouse and Lot for Sale in Catmon, Malabon","Catmon, Malabon",Commercial,"Commercial,warehouse",1347,684,None,None,None,120.9602737,14.6696392,None,38000000,https://www.lamudi.com.ph/684sqm-warehouse-for-sale-in-catmon-malabon-166055222318.html,Malabon
"For Sale Skyline Premiere 2-Bedroom Unit - One Balete Compound, Quezon City","Kaunlaran, Quezon City",Condominium,"Condominium,double-bedroom",None,153,2,2,2,121.04641,14.617893,Skyline Premiere,32000000,https://www.lamudi.com.ph/skyline-premiere-2br-unit-one-balete-compound-166054654221.html,Quezon City
"ESSENSA 3BR FOR SALE: 290 sqm, Nicely Interiored, 3 parking, P95M negotiable","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,290,3,3,5,121.050318,14.540867,Essensa East Forbes,95000000,https://www.lamudi.com.ph/essensa-3br-for-sale-290-sqm-nicely-interiored-3-p-166050597258.html,Taguig
"Park Triangle Corporate Plaza: Whole Flr Office Space for Sale: 1,645m2, 35 prkg","Fort Bonifacio, Taguig",Commercial,"Commercial,offices",0,1645,35,None,None,121.050318,14.540867,None,630000000,https://www.lamudi.com.ph/park-triangle-corporate-plaza-whole-flr-office-spa-166050424239.html,Taguig
"Park Triangle Corporate Plaza: Office Space for Sale: 150 sqm, 2 parking, P41.5M","Fort Bonifacio, Taguig",Commercial,"Commercial,offices",0,150,None,None,None,121.050318,14.540867,None,41500000,https://www.lamudi.com.ph/park-triangle-corporate-plaza-office-space-for-sal-166050373564.html,Taguig
For Sale Brand New Single Home in Congressional Avenue Quezon City,"Congressional Avenue, Quezon City",House,"House,single-family-house",240,400,None,4,4,121.031,14.66588,None,39000000,https://www.lamudi.com.ph/brandnew-single-home-in-congressional-avenue-qc-166040811561.html,Quezon City
Modern Townhouse in Mandaluyong For Sale,"Vergara, Mandaluyong",House,"House,townhouse",130,50,2,3,2,121.024192,14.576533,None,15000000,https://www.lamudi.com.ph/modern-townhouse-in-mandaluyong-for-sale-166039980451.html,Mandaluyong
"Luxury ""Bespoke"" Kiara House for Sale inside the Village of Taguig City","Bambang, Taguig",House,"House,townhouse",158,220,4,3,3,121.06934,14.524033,None,48128734.17,https://www.lamudi.com.ph/luxury-bespoke-kiara-house-for-sale-inside-the-vil-166037574635.html,Taguig
2BR Axis Residences|5% Early Move In Promo|P600K Discount!,"Buayang Bato, Mandaluyong",Condominium,"Condominium,double-bedroom",None,51.82,None,2,2,121.051068,14.569686,Axis Residences,9636422,https://www.lamudi.com.ph/2br-axis-residences-5-early-move-in-promo-p600k-di-166037398934.html,Mandaluyong
"M Residences Taguig City, House for Sale in Mahogany Place 3","Bambang, Taguig",House,"House,single-family-house",198,304,2,2,2,121.06934,14.524033,None,55000000,https://www.lamudi.com.ph/m-residences-taguig-house-for-sale-mahogany-place-166036127529.html,Taguig
For Sale High-end 35 sqm Studio Unit with Parking in Makati - Century Spire,"Poblacion, Makati",Condominium,"Condominium,studio",None,35.29,1,1,1,121.0275016,14.5570169,Century Spire by Armani Casa,10576029.54,https://www.lamudi.com.ph/high-end-35-sqm-studio-unit-with-parking-in-makati-166031244945.html,Makati
1 Bedroom Park Avenue BGC for Sale,"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,37.5,1,1,1,121.0632793,14.5139759,Park Avenue,13000000,https://www.lamudi.com.ph/1-bedroom-park-avenue-bgc-for-sale-166029729748.html,Taguig
"Batasan Hills, Sunnyside Heights 3 Bedrooms House and Lot For Sale, Quezon City","Batasan Hills, Quezon City",House,"House,single-family-house",133,80,2,3,2,121.096563,14.681641,None,8400000,https://www.lamudi.com.ph/batasan-hills-sunnyside-heights-3bedrooms-house-an-166028816385.html,Quezon City
"Commercial Lot for Sale in Grace Park East, Caloocan City along EDSA","Grace Park East, Caloocan",Land,"Land,commercial-lot",625,None,None,None,None,120.9905434,14.6514006,None,237500000,https://www.lamudi.com.ph/commercial-lot-for-sale-in-caloocan-city-along-eds-166028391169.html,Caloocan
"For Sale: House and Lot in Marikina City, Woodridge Heights!","Concepcion Uno, Marikina",House,"House,single-family-house",207,288,3,3,3,121.105875,14.649665,None,28000000,https://www.lamudi.com.ph/for-sale-house-and-lot-in-marikina-city-woodridge-166028240770.html,Marikina
Ayala Alabang Village House and Lot for Sale in Muntinlupa City!,"Ayala Alabang, Muntinlupa",House,"House,single-family-house",784,1350,8,9,None,121.022321,14.405874,None,420000000,https://www.lamudi.com.ph/ayala-alabang-village-house-and-lot-for-sale-in-mu-16602816438.html,Muntinlupa
Luxury 2BR For Sale|The Residences at The Westin Sonata Place,"Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,double-bedroom",None,157,2,2,2,121.053333,14.592173,The Residences at The Westin Manila Sonata,52949693,https://www.lamudi.com.ph/the-residences-at-the-westin-sonata-place-luxury-2-166027459280.html,Mandaluyong
7.5% Move In|2BR 60sqm in BGC |Pet Friendly Building|10% Discount For Sale,"Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,60,None,2,2,121.0494,14.54595,The Trion Towers,17905470,https://www.lamudi.com.ph/2br-60sqm-in-bgc-5-move-in-pet-friendly-building-1-166027421191.html,Taguig
"51.8 sqm, 2 Bedroom Condo Unit For Sale at Axis Residences in Mandaluyong City","Buayang Bato, Mandaluyong",Condominium,"Condominium,double-bedroom",None,51.8,None,2,2,121.051068,14.569686,Axis Residences,8636422,https://www.lamudi.com.ph/51-8-sqm-2-bedroom-condo-unit-for-sale-at-axis-res-166027068595.html,Mandaluyong
"1 Bedroom Condominium RFO For Sale at Trion Towers BGC, Taguig City","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,37.5,None,1,1,121.0494379,14.54595709, Trion Towers,10840675,https://www.lamudi.com.ph/1-bedroom-condominium-rfo-for-sale-at-trion-towers-166026999512.html,Taguig
"For Sale Fully Furnished 4 Bedroom Unit at Brio Tower, Makati City","Guadalupe Viejo, Makati",Condominium,"Condominium,4-bedroom",None,230,4,4,3,121.040676,14.564421,Brio Tower,55000000,https://www.lamudi.com.ph/brio-tower-makati-city-edsa-166020795369.html,Makati
Tomas Morato Quezon City Townhouse for Sale - 48.8M,"Diliman, Quezon City",House,"House,townhouse",97.6,500,7,4,5,121.0528,14.6462,None,48800000,https://www.lamudi.com.ph/tomas-morato-quezon-city-townhouse-for-sale-48-8m-166020212051.html,Quezon City
"8345 sqm Lot for Sale at Cupang, Muntinlupa City","Cupang, Muntinlupa",Land,"Land,commercial-lot",8345,None,None,None,None,121.040194,14.434669,None,917950000,https://www.lamudi.com.ph/8345-sqm-lot-for-sale-at-cupang-muntinlupa-city-16601903571.html,Muntinlupa
Vista GL taft condo in front of PGH MANILA,"Taft, Manila",Condominium,"Condominium,studio",None,21,None,1,1,121.0560385,14.5962746,Vista Gl Taft,3647141,https://www.lamudi.com.ph/vista-gl-taft-condo-in-front-of-pgh-manila-166017589289.html,Manila
Vista pointe Katipunan condo in front of Miriam college and ateneo,"Katipunan, Quezon City",Condominium,"Condominium,studio",None,21,None,1,1,121.0443089,14.6621443,Vista Pointe,3581885,https://www.lamudi.com.ph/vista-pointe-katipunan-condo-in-front-of-miriam-co-166017506398.html,Quezon City
169 sqm 3 Bedroom with Parking Slot at Shang Residences at Wack Wack,"Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,3-bedroom",None,169,1,3,4,121.048466,14.58716839,Shang Residences at Wack Wack,36845080,https://www.lamudi.com.ph/169-sqm-3-bedroom-with-parking-slot-at-shang-resid-166012923740.html,Mandaluyong
Circuit Makati - Ready Turnover Bare Office Space,"Carmona, Makati",Commercial,"Commercial,offices",0,79,None,None,None,121.0275016,14.5570169,None,21463000,https://www.lamudi.com.ph/circuit-makati-ready-turnover-bare-office-space-16601264888.html,Makati
"For Sale 295 sqm RFO Penthouse Unit with Garden at Celadon Park, Manila","Santa Cruz, Manila",Condominium,"Condominium,penthouse-1",None,295,None,3,None,120.984764,14.617888,Celadon Park ,24682000,https://www.lamudi.com.ph/for-sale-295-sqm-rfo-penthouse-unit-with-garden-at-166012648432.html,Manila
Preselling 4 bedroom Condominium Unit in T One Residences - Binondo Manila,"Binondo, Manila",Condominium,"Condominium,4-bedroom",None,187,2,4,4,121.0560385,14.5962746,T One Residences,20128000,https://www.lamudi.com.ph/preselling-4-bedroom-condominium-unit-in-t-one-res-16601264817.html,Manila
GR357 Brand New 2-Car Townhouse near Q. Avenue & E. Rodriguez,"E. Rodriguez, Quezon City",House,"House,townhouse",85,210,None,3,3,121.052143,14.627397,None,18800000,https://www.lamudi.com.ph/gr357-brand-new-2-car-townhouse-near-q-avenue-e-ro-166012508375.html,Quezon City
Spacious corner 1BR with stunning view on Rockwell & Makati,"Hulo, Mandaluyong",Condominium,"Condominium,single-bedroom",None,68.6,None,1,1,121.0355319,14.56777769,Acqua Private Residences,13450000,https://www.lamudi.com.ph/spacious-corner-1br-with-stunning-view-of-rockwell-166011228041.html,Mandaluyong
"ADG - For Sale : 585 sqm Residential Lot in Bel Air 2, Makati City","Bel-Air, Makati",Land,"Land,residential-lot",585,None,None,None,None,121.026342,14.563933,None,195000000,https://www.lamudi.com.ph/adg-for-sale-585-sqm-residential-lot-in-bel-air-2-166009697736.html,Makati
Valle Verde 6 Single detached townhouse for Sale,"Valle Verde 6, Pasig",House,"House,townhouse",200,430,None,5,5,121.075788,14.590946,None,110000000,https://www.lamudi.com.ph/valle-verde-6-single-detached-townhouse-for-sale-166009168728.html,Pasig
"3 Bedroom Condo, One Serendra, with Garden views","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,210,2,3,3,121.050318,14.540867,One Serendra,70000000,https://www.lamudi.com.ph/3-bedroom-condo-one-serendra-with-garden-views-166003713146.html,Taguig
Building for Sale in Mandaluyong City,"Highway Hills, Mandaluyong",Commercial,"Commercial,building",279,1674,None,None,None,121.052143,14.578255,None,107000000,https://www.lamudi.com.ph/building-for-sale-in-mandaluyong-city-166003583715.html,Mandaluyong
2 Bedroom Condo for Sale in Tropical Palms near Greenbelt Makati,"Legazpi Village, Makati",Condominium,"Condominium,double-bedroom",None,141,1,2,3,121.017742,14.554848,Tropical Palms,20000000,https://www.lamudi.com.ph/2-bedroom-for-sale-in-tropical-palms-near-greenbel-166003581495.html,Makati
Commercial Building for Sale in Mandaluyong City,"Highway Hills, Mandaluyong",Commercial,"Commercial,building",279,1674,None,None,None,121.052143,14.578255,None,107000000,https://www.lamudi.com.ph/commercial-building-for-sale-in-mandaluyong-city-166003539262.html,Mandaluyong
House and Lot Kapitolyo Pasig City near Capitol Commons,"Kapitolyo, Pasig",House,"House,single-family-house",368,395.3,2,4,2,121.060157,14.569208,None,52000000,https://www.lamudi.com.ph/house-and-lot-kapitolyo-pasig-city-near-capitol-co-166003446477.html,Pasig
"Rush Sale!! House and Lot for sale in Project 4, Quezon City","Project 4, Quezon City",House,"House,single-family-house",368.7,290,2,7,5,121.0708,14.62078,None,30000000,https://www.lamudi.com.ph/rush-sale-project-4-house-and-lot-166003388287.html,Quezon City
"For sale Beach Residential Lot San Juan, Batangas","Laiya-Ibabao, San Juan",Land,"Land,beach-lot",37,None,None,None,None,121.422891,13.673186,None,5439000,https://www.lamudi.com.ph/for-sale-beach-residential-lot-san-juan-batangas-166002670692.html,San Juan
"3 Bedrooms House and Lot @ Kota Keluarga, San Juan, Batangas | Nadia","Laiya-Ibabao, San Juan",House,"House,single-family-house",200,103,None,3,2,121.422891,13.673186,None,9022000,https://www.lamudi.com.ph/3-bedrooms-house-and-lot-kota-keluarga-san-juan-ba-16600242049.html,San Juan
Brand New Single Detached New Manila Townhouse With Elevator Below 100M For Sale,"New Manila, Quezon City",House,"House,townhouse",231,600.27,None,5,5,121.0306,14.61633,None,99000000,https://www.lamudi.com.ph/brand-new-single-detached-new-manila-townhouse-wit-166002346971.html,Quezon City
"Porto Laiya Residential Property For Sale in San Juan, Batangas","Laiya-Ibabao, San Juan",Land,"Land,residential-lot",384,None,None,None,None,121.422891,13.673186,None,7296000,https://www.lamudi.com.ph/porto-laiya-residential-property-for-sale-in-san-j-166002005885.html,San Juan
"Pre-Selling! 1 Bedroom Unit in Maple at Verdant Towers Ortigas East, Pasig City","Ugong, Pasig",Condominium,"Condominium,single-bedroom",None,52,None,1,1,121.0773161,14.58859839,Maple at Verdant Towers,15408000,https://www.lamudi.com.ph/for-sale-1-bedroom-unit-in-maple-at-verdant-towers-166001232531.html,Pasig
"Pre-selling Larsen Tower, East Bay Residences - 2BR Condominium in Muntinlupa","Sucat, Muntinlupa",Condominium,"Condominium,double-bedroom",None,57,None,2,2,121.049276,14.45461,East Bay Residences,9558875,https://www.lamudi.com.ph/larsen-tower-east-bay-residences-2br-57-sqm-166001120271.html,Muntinlupa
"For Sale: 1BR Unit in AIC Grande Tower, Garnet St, Ortigas, Pasig with 2 Parking","Ortigas CBD, Pasig",Condominium,"Condominium,single-bedroom",None,61.09,2,1,1,121.0616712,14.58905021,AIC Grande Tower,6800000,https://www.lamudi.com.ph/for-sale-1br-unit-in-aic-grande-tower-garnet-st-or-166001129398.html,Pasig
For sale 6 Bedrooms House and Lot in Tivoli Greens - Quezon City,"Batasan Hills, Quezon City",House,"House,single-family-house",300,277,2,6,4,121.096563,14.681641,None,27000000,https://www.lamudi.com.ph/for-sale-house-and-lot-tivoli-greens-quezon-city-16599757172.html,Quezon City
"Commercial Office Building for Sale in Makati City, Makati Ave.","San Lorenzo, Makati",Commercial,"Commercial,building",264,2156.78,None,None,None,121.019175,14.550759,None,275000000,https://www.lamudi.com.ph/commercial-office-building-for-sale-in-makati-city-165995141153.html,Makati
"Rush Sale Commercial Building for Sale in Makati City, Makati Ave.","Makati Avenue, Makati",Commercial,"Commercial,building",264,2156.78,6,None,None,121.0271,14.55973,None,275000000,https://www.lamudi.com.ph/rush-sale-commercial-building-for-sale-in-makati-c-165995140836.html,Makati
Building for Sale in Makati City,"San Lorenzo, Makati",Commercial,"Commercial,offices",264,2156,None,None,None,121.019175,14.550759,None,275000000,https://www.lamudi.com.ph/building-for-sale-in-makati-city-165995140785.html,Makati
"For Sale House and Lot in Parkwood Greens Phase 1-A, Pasig City","Maybunga, Pasig",House,"House,single-family-house",150,230,1,3,3,121.085049,14.576282,None,10800000,https://www.lamudi.com.ph/pasig-city-house-and-lot-for-sale-parkwood-greens-165995090083.html,Pasig
"Bellagio 2 Bedroom Penthouse Corner Unit Condo for Sale in BGC, Taguig City","Fort Bonifacio, Taguig",Condominium,"Condominium,penthouse-1",None,168,2,2,2,121.050318,14.540867,Bellagio Two,42000000,https://www.lamudi.com.ph/bellagio-tower2-penthouse-corner-unit-condo-for-sa-165994706521.html,Taguig
